School,System,2022 NAPLAN Average,Yr 5 Reading,Yr 5 Writing,Yr 5 Spelling,Yr 5 Grammar,Yr 5 Numeracy,ICSEA Percentile,Suburb
St Michael's Catholic Primary School,Catholic,529,536,541,538,527,503,87,Daceyville
Kareela Public School,Government,529,545,522,529,526,522,86,Kareela
Redhead Public School,Government,529,540,515,534,527,527,80,Redhead
Turramurra North Public School,Government,529,544,497,562,517,523,97,North Turramurra
St Patrick's Catholic Primary School,Catholic,529,532,532,529,529,521,87,Sutherland
Kamaroi Rudolf Steiner School,Independent,529,542,492,535,558,516,89,Belrose
St Joseph's Catholic Primary School,Catholic,529,530,530,543,535,505,81,Riverwood
Borenore Public School,Government,528,531,501,543,527,540,38,Borenore
Waverley Public School,Government,528,534,511,536,534,527,95,Waverley
Lane Cove West Public School,Government,528,542,509,526,539,526,97,Lane Cove
St James' Primary School,Catholic,528,542,526,531,536,506,90,Kotara South
St Bernard's Catholic Primary School,Catholic,528,530,518,556,533,504,85,Botany
The Armidale School,Independent,528,562,517,527,532,503,88,Armidale
St Declan's Catholic Primary School,Catholic,528,532,518,525,540,525,89,Penshurst
The McDonald College,Independent,528,539,527,544,507,523,85,North Strathfield
Bowral Public School,Government,528,539,517,536,532,516,81,Bowral
Harbord Public School,Government,528,543,511,534,539,513,93,Freshwater
Glenmore Road Public School,Government,528,542,519,528,543,508,98,Paddington
Mortdale Public School,Government,528,536,526,546,533,499,80,Mortdale
St Mary's Catholic Primary School,Catholic,528,531,511,530,535,532,82,Concord
St Therese Catholic Primary School,Catholic,528,531,522,537,533,515,79,Mascot
St Paul's Catholic Primary School,Catholic,528,541,516,523,551,507,63,Moss Vale
Truscott Street Public School,Government,527,530,512,541,527,527,92,North Ryde
Abbotsford Public School,Government,527,533,514,534,536,520,89,Abbotsford
Holy Cross Primary School,Catholic,527,536,525,532,532,512,87,Glenwood
Orange Grove Public School,Government,527,555,505,520,538,518,93,Leichhardt
Our Lady of Fatima Catholic Primary School,Catholic,527,534,530,533,525,514,85,Caringbah
Warrimoo Public School,Government,527,551,532,538,505,510,80,Warrimoo
Harrington Street Public School,Government,527,521,509,542,541,522,39,Cabramatta
Dudley Public School,Government,527,544,511,529,530,521,84,Dudley
Paddington Public School,Government,527,557,504,528,523,522,94,Paddington
South Coogee Public School,Government,527,530,507,537,540,520,83,South Coogee
St Margaret Mary's Catholic Primary School,Catholic,527,540,520,532,523,519,95,Randwick North
St Gabriel's Catholic School,Catholic,527,530,528,528,533,515,81,Bexley
St Maroun's College,Independent,527,526,519,534,552,503,67,Marrickville
St Patrick's College,Independent,527,527,515,536,525,530,91,Strathfield
Penshurst Public School,Government,527,535,509,540,529,520,67,Penshurst
St Spyridon College,Independent,527,533,523,527,539,511,85,Maroubra
St Peter's Primary School,Catholic,526,552,507,515,527,531,51,Coleambally
St Kevin's Catholic Primary School,Catholic,526,530,516,532,528,526,89,Eastwood
Winston Hills Public School,Government,526,522,522,537,529,522,83,Winston Hills
Allambie Heights Public School,Government,526,529,518,531,531,522,91,Allambie Heights
New Lambton Public School,Government,526,532,514,531,534,520,90,New Lambton
Pittwater House Schools,Independent,526,538,526,526,524,517,97,Collaroy
Forest Lodge Public School,Government,526,538,512,533,534,514,94,Forest Lodge
Al Hikma College,Independent,526,536,500,548,543,504,91,Lakemba
Marie Bashir Public School,Government,526,526,513,533,532,526,85,Strathfield
Dobroyd Point Public School,Government,526,555,507,532,522,514,96,Haberfield
Stanmore Public School,Government,526,543,517,521,537,512,90,Stanmore
Grays Point Public School,Government,526,533,509,524,530,533,88,Grays Point
Kogarah Public School,Government,526,522,499,547,533,528,85,Kogarah
Mount St Thomas Public School,Government,526,532,510,541,529,517,73,Wollongong
Wollemi College,Independent,526,535,500,545,532,517,86,Werrington
Austinmer Public School,Government,526,550,501,524,540,514,91,Austinmer
Wentworth Falls Public School,Government,526,560,505,532,529,503,75,Wentworth Falls
Newcastle East Public School,Government,526,534,502,519,533,540,93,Newcastle
Blue Mountains Grammar School,Independent,526,552,536,516,507,517,94,Wentworth Falls
St Michael's Primary School,Catholic,526,535,513,530,538,512,86,Baulkham Hills
Waverley College,Independent,525,535,512,525,526,529,90,Waverley
John Palmer Public School,Government,525,531,509,539,533,515,86,The Ponds
Mary Immaculate Primary School,Catholic,525,540,523,533,522,509,80,Quakers Hill
St Patrick's Catholic Primary School,Catholic,525,539,520,549,520,499,93,Summer Hill
Broadwater Public School,Government,525,564,471,504,546,541,42,Broadwater
Camdenville Public School,Government,525,545,486,539,537,519,90,Newtown
Rouse Hill Anglican College,Independent,525,534,514,538,526,514,86,Rouse Hill
Leumeah Public School,Government,525,531,507,547,527,514,61,Leumeah
Northern Beaches Christian School,Independent,525,546,511,531,525,513,93,Terrey Hills
St Patrick's Primary School,Catholic,525,545,519,504,546,512,76,Swansea
St Kevin's Catholic Primary School,Catholic,525,540,511,539,518,517,83,Dee Why
St Paul's Grammar School,Independent,525,544,512,526,528,515,89,Cranebrook
St Joseph's Catholic Primary School,Catholic,525,543,522,519,530,511,90,Bulli
St Columba Anglican School,Independent,525,546,513,531,524,511,85,Port Macquarie
Richard Johnson Anglican School,Independent,525,535,509,544,531,506,76,Oakhurst
Glenorie Public School,Government,525,531,525,525,531,512,71,Glenorie
Bilpin Public School,Government,525,535,502,535,543,509,54,Bilpin
Strathfield South Public School,Government,525,518,507,531,534,533,84,Strathfield
Rozelle Public School,Government,525,544,498,520,537,524,95,Rozelle
Peakhurst South Public School,Government,525,534,506,539,525,519,74,Peakhurst
Beaumont Hills Public School,Government,525,539,507,537,527,513,85,Beaumont Hills
Blacktown North Public School,Government,525,526,507,564,523,503,58,Blacktown
Collaroy Plateau Public School,Government,524,537,500,527,533,525,87,Collaroy Plateau
St Agatha's Catholic Primary School,Catholic,524,534,498,533,539,518,95,Pennant Hills
St Patrick's Catholic Primary School,Catholic,524,528,530,535,533,496,72,Port Kembla
St Joseph's Primary School,Catholic,524,528,517,525,562,490,58,Grenfell
Lakes Grammar - An Anglican School,Independent,524,536,518,528,522,517,76,Warnervale
South Wagga Public School,Government,524,528,517,514,550,512,63,Wagga Wagga
Bourke Street Public School,Government,524,550,507,527,527,510,91,Surry Hills
Toongabbie Christian College,Independent,524,530,508,530,525,526,80,Toongabbie
Kinross Wolaroi School,Independent,524,542,509,514,529,525,90,Orange
Gladesville Public School,Government,524,532,514,531,530,512,91,Gladesville
St Francis Xavier's Catholic Primary School,Catholic,524,523,520,541,527,508,69,Lurnea
St Catherine Labour̩ Catholic Primary School,Catholic,524,537,517,526,532,507,82,Gymea
Asquith Public School,Government,524,539,504,536,545,495,84,Asquith
St John Bosco Catholic Primary School,Catholic,524,544,510,523,523,518,84,Engadine
St Joseph's Primary School,Catholic,524,549,516,526,513,514,97,Merewether
William Carey Christian School,Independent,524,528,522,541,516,511,84,Prestons
St Luke's Catholic Primary School,Catholic,524,528,514,544,526,506,79,Revesby
Corpus Christi Catholic Primary School,Catholic,523,522,521,515,534,525,94,St Ives
Coast Christian School,Independent,523,547,503,504,539,524,81,Bensville
Undercliffe Public School,Government,523,549,498,528,528,514,78,Earlwood
Our Lady of the Rosary Catholic Primary School,Catholic,523,518,530,542,522,505,50,Fairfield
Concord West Public School,Government,523,531,503,536,522,524,87,Concord West
Our Lady of the Angels Primary School,Catholic,523,531,518,526,526,515,81,Kellyville
Kegworth Public School,Government,523,536,506,530,531,513,90,Leichhardt
Brooklyn Public School,Government,523,571,492,506,527,519,81,Brooklyn
Australian Christian College - Marsden Park,Independent,523,524,511,544,531,505,77,Riverstone
Coffs Harbour Christian Community School,Independent,523,527,514,527,526,520,62,Bonville
McAuley Catholic Central School,Catholic,523,534,503,517,540,520,55,Tumut
Macquarie Fields Public School,Government,523,515,513,537,531,518,66,Macquarie Fields
Hamilton Public School,Government,523,546,497,515,538,518,83,Hamilton
Laguna Street Public School,Government,523,540,518,520,519,517,80,Caringbah
St Brendan's Catholic Primary School,Catholic,523,519,516,534,524,520,59,Bankstown
Lindisfarne Anglican Grammar School,Independent,523,538,512,524,521,518,89,Terranora
Oxford Falls Grammar School,Independent,523,537,511,518,529,518,94,Oxford Falls
Clovelly Public School,Government,523,535,519,527,521,511,95,Waverley
Rosehill Public School,Government,523,516,515,542,530,510,71,Rosehill
St Anthony's Primary School,Catholic,522,535,497,525,539,516,88,Girraween
St Patrick's Catholic Primary School,Catholic,522,519,521,543,517,512,87,Kogarah
Australian Islamic College of Sydney,Independent,522,530,508,543,529,502,78,Mount Druitt
Byron Community Primary School,Independent,522,560,523,516,514,499,90,Byron Bay
Leura Public School,Government,522,545,527,521,523,496,80,Leura
Manly Village Public School,Government,522,542,505,526,520,518,94,Manly
Sherwood Ridge Public School,Government,522,525,512,524,535,515,86,Kellyville
Bardia Public School,Government,522,518,506,537,541,509,72,Bardia
Bethel Christian School,Independent,522,521,518,539,525,508,41,Mount Druitt
St Thomas Aquinas Catholic Primary School,Catholic,522,545,505,518,536,507,83,Bowral
Holy Spirit Catholic Primary School,Catholic,522,521,515,537,533,505,72,Carnes Hill
Nundle Public School,Government,522,555,497,543,534,482,19,Nundle
Georges Hall Public School,Government,522,515,517,534,539,505,59,Georges Hall
Saint Mary MacKillop Colleges Limited,Independent,522,517,482,550,560,501,82,Wagga Wagga
Our Lady of Mount Carmel Catholic Primary School,Catholic,522,530,527,523,527,502,11,Waterloo
Saint Mary MacKillop College Albury,Independent,522,537,486,549,536,501,82,Jindera
Towradgi Public School,Government,522,538,498,531,524,517,53,Fairy Meadow
Blacktown South Public School,Government,521,520,510,536,520,521,69,Blacktown
St Patrick's Primary School,Catholic,521,520,517,543,518,508,56,Griffith
Double Bay Public School,Government,521,538,509,525,531,503,96,Double Bay
Nowra Anglican College,Independent,521,547,512,527,522,498,81,Bomaderry
Sacred Heart Catholic Primary School,Catholic,521,528,504,526,522,525,57,Villawood
Sacred Heart Catholic Primary School,Catholic,521,532,509,520,523,521,87,Mona Vale
Bangor Public School,Government,521,529,511,521,541,503,76,Bangor
Vaucluse Public School,Government,521,533,518,521,533,500,93,Vaucluse
St John the Apostle Catholic Primary School,Catholic,521,536,518,506,529,515,85,Narraweena
St Christopher's Catholic Primary School,Catholic,521,526,512,525,529,512,81,Holsworthy
Hamilton North Public School,Government,521,529,503,538,525,509,53,Broadmeadow
St Peter's Primary School,Catholic,521,526,515,524,531,508,70,Stockton
Bondi Public School,Government,521,545,512,527,518,502,96,Bondi
Banksmeadow Public School,Government,521,530,517,527,529,501,60,Botany
Matraville Public School,Government,521,524,510,544,527,499,58,Matraville
Blacktown West Public School,Government,521,524,510,544,527,499,41,Blacktown
Border Christian College,Independent,521,526,507,538,537,496,61,Thurgoona
Mona Vale Public School,Government,521,529,514,522,523,515,84,Mona Vale
Good Samaritan Catholic Primary School,Catholic,521,522,503,533,535,510,81,Fairy Meadow
Central Coast Adventist School,Independent,521,542,500,525,529,507,86,Erina
Kesser Torah College,Independent,521,532,503,526,540,502,81,Dover Heights
Nashdale Public School,Government,520,525,508,516,523,530,77,Nashdale
St Augustine's College Sydney,Independent,520,536,508,526,512,520,92,Brookvale
Kings Langley Public School,Government,520,533,517,534,508,510,76,Kings Langley
St Patrick's Catholic Primary School,Catholic,520,536,507,520,529,510,92,Asquith
Boronia Park Public School,Government,520,536,495,526,539,506,94,Hunters Hill
The Junction Public School,Government,520,543,503,534,518,504,90,Merewether
Australian International Academy,Independent,520,528,510,534,528,501,87,North Kellyville
St Michael's Catholic Primary School,Catholic,520,530,528,529,520,493,61,Mittagong
Bald Face Public School,Government,520,526,501,536,507,529,89,Blakehurst
Bexley North Public School,Government,520,523,523,535,515,503,79,Bexley
St Euphemia College,Independent,520,518,499,547,536,499,61,Bankstown
Beauty Point Public School,Government,520,560,510,507,498,523,98,Mosman
Holy Spirit Catholic Primary School,Catholic,520,541,493,526,523,515,87,North Ryde
The Pocket Public School,Government,519,536,515,497,542,507,70,The Pocket
Telegraph Point Public School,Government,519,535,494,536,527,505,39,Telegraph Point
Our Lady of Lourdes Catholic Primary School,Catholic,519,530,509,525,532,501,84,Earlwood
Forestville Public School,Government,519,521,515,524,523,513,90,Forestville
Wakehurst Public School,Government,519,530,515,532,511,508,91,Belrose
Mortlake Public School,Government,519,520,501,529,521,524,82,Concord
Homebush Public School,Government,519,512,506,543,518,516,83,Homebush
Kellyville Ridge Public School,Government,519,514,503,540,522,516,85,Kellyville Ridge
Blakebrook Public School,Government,519,536,506,509,530,514,25,Blakebrook
Avalon Public School,Government,519,538,499,524,520,514,84,Avalon Beach
Oatlands Public School,Government,519,523,518,525,519,510,75,Oatlands
St Joseph's Catholic Primary School,Catholic,519,537,507,534,516,501,88,Narrabeen
St Andrew's Catholic Primary School,Catholic,519,522,526,520,514,512,75,Malabar
St Philip's Christian College - Waratah,Independent,519,531,510,520,521,512,88,Waratah
St Ambrose Catholic Primary School,Catholic,519,526,527,516,525,500,85,Pottsville
St Catherine of Siena Catholic Primary School,Catholic,519,528,514,533,519,500,80,Prestons
St Nicholas of Myra Primary School,Catholic,519,525,538,530,503,498,69,Penrith
Holy Innocents' Catholic Primary School,Catholic,519,522,515,531,504,521,83,Croydon
Loftus Public School,Government,519,527,501,526,523,516,77,Loftus
St Anne's Primary School,Catholic,519,528,528,518,509,510,78,North Albury
Lambton Public School,Government,519,531,494,529,535,504,61,Lambton
Good Shepherd Catholic Primary School,Catholic,519,523,524,534,522,490,67,Hoxton Park
Awaba Public School,Government,519,540,491,536,536,490,35,Awaba
St Joachim's Catholic Primary School,Catholic,518,528,501,539,514,510,76,Lidcombe
Ferncourt Public School,Government,518,546,511,514,514,507,94,Marrickville
Bangalow Public School,Government,518,542,505,519,519,507,77,Bangalow
Burraneer Bay Public School,Government,518,529,509,531,517,506,81,Cronulla
Sacred Heart Catholic School,Catholic,518,527,501,542,522,500,47,Cabramatta
Holy Family Catholic Primary School,Catholic,518,526,510,527,516,512,82,Menai
Auburn North Public School,Government,518,513,519,535,534,490,45,Auburn
O'Connell Public School,Government,518,540,510,516,504,520,65,O'Connell
Georges River Grammar,Independent,518,513,514,534,517,512,85,Georges Hall
St Francis de Sales Catholic Primary School,Catholic,518,527,514,531,510,508,86,Woolooware
Our Lady of Good Counsel Catholic Primary School,Catholic,518,534,520,516,523,497,94,Forestville
Lilli Pilli Public School,Government,518,530,514,516,517,512,91,Lilli Pilli
Niagara Park Public School,Government,518,534,501,535,521,497,55,Niagara Park
Leonay Public School,Government,517,535,494,514,518,526,64,Emu Plains
Connells Point Public School,Government,517,516,516,532,508,515,83,South Hurstville
Green Point Christian College,Independent,517,531,503,515,523,515,87,Green Point
Quakers Hill East Public School,Government,517,523,497,535,522,510,81,Acacia Gardens
Marton Public School,Government,517,526,509,522,521,509,71,Engadine
Gymea Bay Public School,Government,517,531,510,517,522,507,83,Gymea Bay
St John the Baptist Catholic Primary School,Catholic,517,541,497,515,518,515,97,Freshwater
St Philip's Christian College - Gosford,Independent,517,530,500,527,517,512,79,Narara
Heathcote Public School,Government,517,520,512,521,526,507,71,Heathcote
St Mary's Catholic Primary School,Catholic,517,533,508,534,507,504,56,Dubbo
St Mary's Catholic Primary School,Catholic,517,528,516,526,513,503,71,Georges Hall
St John's Primary School,Catholic,517,537,519,525,521,484,82,Lambton
Frenchs Forest Public School,Government,517,528,497,521,512,527,92,Frenchs Forest
Lidcombe Public School,Government,517,509,501,530,530,515,52,Lidcombe
Bundanoon Public School,Government,517,526,506,529,510,514,57,Bundanoon
Parklea Public School,Government,517,524,506,528,514,513,79,Glenwood
Holy Name Primary School,Catholic,517,537,505,508,522,513,52,Forster
Our Lady Help of Christians Catholic Primary School,Catholic,517,526,516,522,511,510,61,Rosemeadow
St Cecilia's Catholic Primary School,Catholic,517,529,520,515,513,508,64,Wyong
Our Lady of The Rosary Primary School,Catholic,517,529,528,521,504,503,87,Kellyville
St Christopher's Catholic Primary School,Catholic,517,522,523,524,513,503,81,Panania
Mary Immaculate Catholic Primary School,Catholic,517,519,511,532,523,500,62,Bossley Park
Rosebank Public School,Government,517,519,511,532,523,500,56,Rosebank
Sathya Sai College,Independent,517,543,485,523,518,515,59,Murwillumbah
St Brigid's Catholic Primary School,Catholic,517,526,497,515,532,514,97,Coogee
St Patrick's Catholic Primary School,Catholic,517,533,503,517,520,511,80,East Gosford
St Peter's Primary School,Catholic,517,530,505,515,526,508,80,Port Macquarie
St Mary's Primary School,Catholic,517,524,503,524,526,507,84,Warners Bay
St Thomas More's Catholic School,Catholic,517,524,518,519,533,490,82,Brighton-Le-Sands
Hurstville South Public School,Government,517,516,497,532,523,515,79,Hurstville
Manly Vale Public School,Government,517,530,506,515,519,513,89,Manly Vale
Parramatta North Public School,Government,517,519,504,538,516,506,76,North Parramatta
Our Lady of Lourdes Primary School,Catholic,517,539,506,527,507,504,73,Seven Hills
Our Lady of Fatima Catholic Primary School,Catholic,517,529,507,527,518,502,87,Kingsgrove
Wyong Creek Public School,Government,517,533,505,525,518,502,63,Wyong Creek
Curl Curl North Public School,Government,516,533,496,517,522,514,87,North Curl Curl
Yowie Bay Public School,Government,516,528,496,524,522,512,83,Yowie Bay
Cudal Public School,Government,516,523,490,541,519,509,48,Cudal
Beacon Hill Public School,Government,516,536,491,517,512,525,81,Beacon Hill
Maryland Public School,Government,516,526,487,529,525,514,38,Maryland
HopePoint Christian School,Independent,516,526,517,544,508,486,60,Georges Hall
Colyton Public School,Government,516,508,501,531,529,511,62,Mount Druitt
Campsie Public School,Government,516,499,504,546,521,510,59,Campsie
Garden Suburb Public School,Government,516,528,518,510,517,507,66,Garden Suburb
Wheeler Heights Public School,Government,516,528,482,530,536,504,82,Collaroy Plateau
Shire Christian School,Independent,516,533,507,521,501,517,88,Barden Ridge
Crown Street Public School,Government,516,527,493,532,510,517,87,Surry Hills
Lewisham Public School,Government,516,530,505,516,526,502,84,Lewisham
Avoca Beach Public School,Government,516,543,498,513,523,502,83,Avoca Beach
Lapstone Public School,Government,516,551,501,517,509,501,91,Glenbrook
All Hallows Catholic Primary School,Catholic,516,523,509,533,518,496,87,Five Dock
Balgownie Public School,Government,516,542,508,528,506,495,82,Balgownie
Inaburra School,Independent,516,537,507,515,505,514,91,Bangor
Metella Road Public School,Government,516,522,497,530,516,513,77,Toongabbie
Our Lady of Mount Carmel Primary School,Catholic,516,533,492,524,526,503,81,Wentworthville
St Joseph's Primary School,Catholic,516,540,509,519,521,489,80,Wagga Wagga
Coorabell Public School,Government,515,526,493,524,526,508,74,Coorabell
Miranda North Public School,Government,515,517,501,522,532,505,71,Miranda
St Francis Xavier's Catholic Primary School,Catholic,515,533,511,515,527,491,86,Arncliffe
St Kevin's Primary School,Catholic,515,534,540,515,507,481,72,Cardiff
Wagga Wagga Christian College,Independent,515,520,494,527,530,505,61,Wagga Wagga
Tocumwal Public School,Government,515,523,515,512,523,503,47,Tocumwal
Malek Fahd Islamic School,Independent,515,513,496,540,527,500,71,Greenacre
St Patrick's Primary School,Catholic,515,534,503,515,510,513,84,Parramatta
Wallsend South Public School,Government,515,537,500,514,506,516,79,Wallsend
Cedars Christian College,Independent,515,525,501,529,515,503,77,Unanderra
Ashbury Public School,Government,515,524,499,524,523,503,88,Ashbury
Belmont Christian College,Independent,515,535,495,526,514,503,77,Belmont North
MacKillop Catholic College,Catholic,515,521,518,519,518,497,61,Warnervale
St Joseph's Primary School,Catholic,515,537,508,527,506,495,39,Narrandera
Caves Beach Public School,Government,514,532,495,521,513,511,59,Caves Beach
Alfords Point Public School,Government,514,542,483,529,512,506,74,Alfords Point
Valentine Public School,Government,514,519,509,527,512,505,79,Valentine
Maitland Christian School,Independent,514,531,485,528,526,502,69,Metford
Jerrabomberra Public School,Government,514,529,503,520,520,500,85,Jerrabomberra
St Charbel's College,Independent,514,513,506,531,526,496,66,Punchbowl
Clemton Park Public School,Government,514,524,499,525,524,499,67,Earlwood
Western Grammar School,Independent,514,517,501,528,536,489,69,Plumpton
Tinonee Public School,Government,514,533,480,522,528,507,32,Tinonee
Kuyper Christian School,Independent,514,535,503,519,502,510,65,Kurrajong
Ellison Public School,Government,514,530,479,523,534,503,72,Springwood
Mimosa Public School,Government,514,535,497,504,517,515,87,Frenchs Forest
St Patrick's Parish School,Catholic,514,531,506,500,525,506,74,Albury
St Joseph's Primary School,Catholic,514,519,498,531,515,505,68,Tweed Heads
Sacred Heart Primary School,Catholic,514,519,498,520,528,503,57,Kooringal
Newtown North Public School,Government,514,539,503,517,508,501,94,Newtown
Minarah College,Independent,514,508,500,542,520,498,68,Green Valley
St Edward's Catholic Primary School,Catholic,513,506,501,524,517,519,70,Canowindra
St Aidan's Catholic Primary School,Catholic,513,514,515,518,509,511,88,Maroubra Junction
Enfield Public School,Government,513,526,499,532,513,497,75,Enfield
Newtown Public School,Government,513,543,502,520,509,493,93,Newtown
St James Catholic Primary School,Catholic,513,534,502,519,523,489,92,Glebe
Main Arm Upper Public School,Government,513,-,497,487,540,529,65,Upper Main Arm
Summerland Christian College,Independent,513,518,504,520,520,504,68,Goonellabah
Barnier Public School,Government,513,513,506,528,518,501,73,Quakers Hill
Wagga Wagga Public School,Government,513,524,502,512,527,501,54,Wagga Wagga
Menai Public School,Government,513,523,512,520,513,498,44,Menai
Regents Park Christian School,Independent,513,518,505,533,520,490,64,Regents Park
